2016-03-07 00:24:17.504 25251 LOG File descriptor limit: 65536 (H:65536), max_client_conn: 300, max fds possible: 510
2016-03-07 00:24:17.504 25251 LOG listening on 127.0.0.1:6543
2016-03-07 00:24:17.504 25251 LOG listening on unix:/tmp/.s.PGSQL.6543
2016-03-07 00:24:17.504 25251 LOG process up: pgbouncer 1.6.1, libevent 2.0.16-stable (epoll), adns: evdns2
2016-03-07 00:24:19.122 25251 LOG Got SIGHUP re-reading config
2016-03-07 00:25:17.505 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:25:26.805 25251 LOG C-0xf1ec90: minapp/minuser@127.0.0.1:42291 login attempt: db=minapp user=minuser
2016-03-07 00:25:26.805 25251 LOG S-0xf3c640: minapp/minuser@127.0.0.1:5432 new connection to server (from 127.0.0.1:49654)
2016-03-07 00:26:17.506 25251 LOG Stats: 0 req/s, in 362 b/s, out 11446 b/s,query 174346 us
2016-03-07 00:27:17.507 25251 LOG Stats: 0 req/s, in 118 b/s, out 3811 b/s,query 87329 us
2016-03-07 00:28:17.507 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:29:17.508 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:30:17.509 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:31:17.510 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:32:17.511 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:33:17.512 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:34:17.513 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:35:17.514 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:36:17.514 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:37:17.515 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:38:17.516 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:39:17.516 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 00:40:17.517 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
